,Home Points,Home Win,Away Points,Away Win,Total Draws,Total Wins,Total Points
Man City,182.0,57.0,160.0,49.0,24.0,106.0,342.0
Liverpool,169.0,49.0,139.0,40.0,41.0,89.0,308.0
Tottenham,170.0,52.0,134.0,39.0,31.0,91.0,304.0
Chelsea,154.0,45.0,131.0,39.0,33.0,84.0,285.0
Man United,158.0,45.0,124.0,36.0,39.0,81.0,282.0
Arsenal,177.0,55.0,102.0,28.0,30.0,83.0,279.0
Leicester,130.0,37.0,94.0,25.0,38.0,62.0,224.0
Everton,134.0,39.0,77.0,17.0,43.0,56.0,211.0
West Ham,117.0,32.0,84.0,21.0,42.0,53.0,201.0
Southampton,102.0,26.0,82.0,20.0,46.0,46.0,184.0
Bournemouth,106.0,29.0,71.0,18.0,36.0,47.0,177.0
Watford,106.0,29.0,70.0,19.0,32.0,48.0,176.0
Crystal Palace,87.0,24.0,89.0,24.0,32.0,48.0,176.0
Burnley,82.0,24.0,52.0,12.0,26.0,36.0,134.0
Stoke,75.0,20.0,53.0,12.0,32.0,32.0,128.0
Newcastle,81.0,23.0,45.0,10.0,27.0,33.0,126.0
Swansea,78.0,22.0,43.0,10.0,25.0,32.0,121.0
West Brom,70.0,18.0,49.0,10.0,35.0,28.0,119.0
Brighton,52.0,13.0,24.0,5.0,22.0,18.0,76.0
Sunderland,38.0,9.0,25.0,6.0,18.0,15.0,63.0
Wolves,34.0,10.0,23.0,6.0,9.0,16.0,57.0
Huddersfield,32.0,8.0,21.0,4.0,17.0,12.0,53.0
Norwich,23.0,6.0,11.0,3.0,7.0,9.0,34.0
Hull,28.0,8.0,6.0,1.0,7.0,9.0,34.0
Cardiff,20.0,6.0,14.0,4.0,4.0,10.0,34.0
Middlesbrough,18.0,4.0,10.0,1.0,13.0,5.0,28.0
Fulham,21.0,6.0,5.0,1.0,5.0,7.0,26.0
Aston Villa,11.0,2.0,6.0,1.0,8.0,3.0,17.0
